"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp10" "Gp10" NA NA NA
"Bacteria" "candidate_division_WPS-2" NA NA NA NA NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Mycobacteriaceae" "Mycobacterium" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Rhodopseudomonas" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp3" "Gp3" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp10" "Gp10" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Roseiarcaceae" "Roseiarcus" "fermentans"
"Bacteria" "Chloroflexi" "Ktedonobacteria" "Ktedonobacterales" "Ktedonobacteraceae" "Ktedonobacter" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"Bacteria" "Armatimonadetes" "Chthonomonadetes" "Chthonomonadales" "Chthonomonadaceae" "Chthonomonas/Armatimonadetes_gp3" NA
"Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Mucilaginibacter" NA
"Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp7" "Gp7" NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" NA NA
"Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp4" "Gp4" NA NA NA
"Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Blastopirellula" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Granulicella" NA NA NA
"Bacteria" "Actinobacteria" "Actinobacteria" NA NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Edaphobacter" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Reyranella" NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
"Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Chryseolinea" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidisoma" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium" NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Mycobacteriaceae" "Mycobacterium" "JC2972"
"Bacteria" "Acidobacteria" "Acidobacteria_Gp2" "Gp2" NA NA NA
"Bacteria" "Proteobacteria" "Betaproteobacteria" "Rhodocyclales" "Rhodocyclaceae" NA NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"Bacteria" "candidate_division_WPS-2" NA NA NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp4" "Gp4" NA NA NA
"Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Ferruginibacter" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
"Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Thermogutta" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp3" "Candidatus_Solibacter" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_incertae_sedis" "Rhizomicrobium" NA NA
"Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" NA NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Gaiellales" "Gaiellaceae" "Gaiella" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp6" "Gp6" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_incertae_sedis" "Rhizomicrobium" NA NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Streptomycetaceae" "Streptomyces" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp2" "Gp2" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidisoma" NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Thermomonosporaceae" NA NA
"Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Massilia" NA
"Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA NA
"Bacteria" "Verrucomicrobia" "Spartobacteria" "Terrimicrobium" NA NA NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Rhodanobacter" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
NA NA NA NA NA NA NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Gaiellales" "Gaiellaceae" "Gaiella" NA
"Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Granulicella" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp2" "Gp2" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_incertae_sedis" "Rhizomicrobium" NA NA
"Bacteria" "Verrucomicrobia" "Subdivision3" NA NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidisoma" NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Acidimicrobiales" "Acidimicrobiaceae" NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp2" "Gp2" NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp1" "Gp1" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_incertae_sedis" "Rhizomicrobium" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" NA NA
"Bacteria" "Actinobacteria" "Actinobacteria" "Acidimicrobiales" NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Rhodoplanes" NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp2" "Gp2" NA NA NA
"Bacteria" "Acidobacteria" "Acidobacteria_Gp6" "Gp6" NA NA NA
"Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" NA
