"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Bacteria" "Gemmatimonadota" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Puia" NA
"Bacteria" "Gemmatimonadota" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup 2" NA NA NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Ferruginibacter" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "SC-I-84" NA NA
"Bacteria" "WPS-2" NA NA NA NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Granulicella" NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Oryzihumus" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Granulicella" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "Candidatus Xiphinematobacter" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Edaphobacter" NA
"Bacteria" "Desulfobacterota" "Desulfuromonadia" "Geobacterales" "Geobacteraceae" "Geobacter" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" NA
"Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Occallatibacter" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Aurantisolimonas" NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Rhodanobacteraceae" "Rhodanobacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup 2" NA NA NA
"Bacteria" "Myxococcota" "Polyangia" "Haliangiales" "Haliangiaceae" "Haliangium" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" NA NA NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" NA
"Bacteria" "Actinobacteriota" "Thermoleophilia" "Gaiellales" NA NA NA
"Archaea" "Euryarchaeota" "Methanobacteria" "Methanobacteriales" "Methanobacteriaceae" "Methanobrevibacter" NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Cytophagales" "Hymenobacteraceae" "Adhaeribacter" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Granulicella" "mallensis"
"Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" NA NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Lapillicoccus" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Occallatibacter" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Micropepsales" "Micropepsaceae" NA NA
"Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" NA NA NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Occallatibacter" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" NA NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
